<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CDR,D,20200102,000000,269.205,273.791,268.252,273.791,175444.48967201222,0
CDR,D,20200103,000000,273.977,276.658,268.35,273.025,255568.52833326574,0
CDR,D,20200107,000000,274.076,275.323,270.069,270.923,222980.49659737802,0
CDR,D,20200108,000000,270.638,270.923,264.725,268.35,235131.5173664782,0
CDR,D,20200109,000000,271.12,275.509,270.167,275.509,204158.32717072117,0
CDR,D,20200110,000000,276.365,279.419,271.591,272.072,277182.56125487713,0
CDR,D,20200113,000000,274.743,277.416,271.306,277.416,219052.33855085517,0
CDR,D,20200114,000000,277.326,278.565,273.221,275.411,282533.12386101903,0
CDR,D,20200115,000000,276.275,276.462,269.872,270.354,275198.11852998286,0
CDR,D,20200116,000000,269.686,273.025,266.533,269.499,260108.61561409532,0
CDR,D,20200117,000000,242.284,255.848,231.982,254.414,2927155.85592505,0
CDR,D,20200120,000000,256.515,269.784,254.983,268.733,799425.9807963385,0
CDR,D,20200121,000000,268.92,272.74,261.19,266.15,463063.4480178358,0
CDR,D,20200122,000000,269.116,271.12,261.956,263.095,520738.5419901901,0
CDR,D,20200123,000000,261.573,265.866,260.424,261.573,476686.7644155766,0
CDR,D,20200124,000000,260.62,264.913,258.902,263.478,344788.01433240814,0
CDR,D,20200127,000000,264.53,266.632,256.132,258.705,275198.11852998286,0
CDR,D,20200128,000000,259.187,263.763,259.187,263.763,257303.51571306234,0
CDR,D,20200129,000000,264.432,265.296,261.76,264.725,418462.86868399533,0
CDR,D,20200130,000000,264.432,265.777,261.573,265.296,351423.5265120922,0
CDR,D,20200131,000000,265.394,268.831,262.044,268.831,581647.3917831185,0
CDR,D,20200203,000000,267.869,280.185,266.818,280.185,618181.9088970107,0
CDR,D,20200204,000000,280.185,291.165,277.131,291.165,697379.3991335984,0
CDR,D,20200205,000000,289.259,306.054,288.592,294.033,825256.3181426949,0
CDR,D,20200206,000000,295.457,300.23,291.833,299.474,347188.8947558656,0
CDR,D,20200207,000000,299.091,302.431,293.454,294.789,245476.27780004678,0
CDR,D,20200210,000000,296.803,299.189,295.938,296.606,128066.30143435611,0
CDR,D,20200211,000000,298.806,302.617,296.42,296.42,227062.40059128802,0
CDR,D,20200212,000000,296.891,301.477,294.416,298.992,245453.8777282426,0
CDR,D,20200213,000000,298.894,304.248,298.04,304.248,265279.977645794,0
CDR,D,20200214,000000,304.817,311.976,303.099,311.21,416049.77003956016,0
CDR,D,20200217,000000,312.742,320.757,308.922,311.21,179338.02942574315,0
CDR,D,20200218,000000,310.641,315.798,308.353,314.079,119888.23885538708,0
CDR,D,20200219,000000,315.032,316.848,310.926,315.798,320636.6641863329,0
CDR,D,20200220,000000,315.601,316.848,311.79,313.598,206626.40780959115,0
CDR,D,20200221,000000,313.125,318.852,311.79,315.984,212483.00840150286,0
CDR,D,20200224,000000,312.742,315.032,304.532,305.671,419040.1796255203,0
CDR,D,20200225,000000,301.86,307.105,291.45,293.365,644457.1931242283,0
CDR,D,20200226,000000,287.924,302.244,283.524,293.837,552879.5904750654,0
CDR,D,20200227,000000,294.033,296.891,277.514,279.232,479863.50187155453,0
CDR,D,20200228,000000,263.478,273.025,249.738,265.866,1159202.697721541,0
CDR,D,20200302,000000,274.842,284.487,259.658,271.503,709383.8012508961,0
CDR,D,20200303,000000,281.619,292.982,277.033,291.932,780947.9579274092,0
CDR,D,20200304,000000,286.676,290.596,279.232,282.188,432054.6213441962,0
CDR,D,20200305,000000,289.259,291.647,280.853,284.103,317971.0556415481,0
